circuit,2qg_in,depth_in,sabre0330_min_2qg_out,sabre0330_min_depth_out,sabre0330_min_2qg_ratio,sabre0330_min_depth_ratio,sabre0330_avg_time,sabre0394_min_2qg_out,sabre0394_min_depth_out,sabre0394_min_2qg_ratio,sabre0394_min_depth_ratio,sabre0394_avg_time,sqgm_min_2qg_out,sqgm_min_depth_out,sqgm_min_2qg_ratio,sqgm_min_depth_ratio,sqgm_avg_time
20QBT_depth_Tokyo_large_opt_5_1.5_no.2.qasm,116,40,194,91,1.672,2.275,0.07,191,84,1.647,2.1,0.06,269,79,2.319,1.975,0.09
20QBT_depth_Tokyo_large_opt_5_1.5_no.3.qasm,141,48,255,113,1.809,2.354,0.1,246,124,1.745,2.583,0.44,294,102,2.085,2.125,0.11
20QBT_depth_Tokyo_large_opt_5_1.5_no.4.qasm,115,39,229,106,1.991,2.718,0.08,202,90,1.757,2.308,0.07,232,76,2.017,1.949,0.09
20QBT_depth_Tokyo_large_opt_5_1.5_no.5.qasm,111,44,198,110,1.784,2.5,0.08,207,119,1.865,2.705,0.07,213,83,1.919,1.886,0.08
20QBT_depth_Tokyo_large_opt_5_1.5_no.6.qasm,113,39,215,122,1.903,3.128,0.08,215,112,1.903,2.872,0.06,263,82,2.327,2.103,0.1
20QBT_depth_Tokyo_large_opt_5_1.5_no.7.qasm,141,46,249,111,1.766,2.413,0.09,234,109,1.66,2.37,0.07,348,94,2.468,2.043,0.11
20QBT_depth_Tokyo_large_opt_5_1.5_no.8.qasm,136,45,244,124,1.794,2.756,0.09,241,124,1.772,2.756,0.07,319,105,2.346,2.333,0.11
20QBT_depth_Tokyo_large_opt_5_1.5_no.9.qasm,127,42,217,110,1.709,2.619,0.08,226,100,1.78,2.381,0.45,283,85,2.228,2.024,0.1
20QBT_depth_Tokyo_large_opt_5_2.55_no.0.qasm,150,53,267,108,1.78,2.038,0.53,240,119,1.6,2.245,0.08,282,96,1.88,1.811,0.11
20QBT_depth_Tokyo_large_opt_5_2.55_no.1.qasm,155,57,272,154,1.755,2.702,0.11,269,176,1.735,3.088,0.09,392,129,2.529,2.263,0.14
20QBT_depth_Tokyo_large_opt_5_2.55_no.2.qasm,133,54,202,120,1.519,2.222,0.09,220,109,1.654,2.019,0.08,226,82,1.699,1.519,0.1
20QBT_depth_Tokyo_large_opt_5_2.55_no.3.qasm,126,53,216,123,1.714,2.321,0.09,210,116,1.667,2.189,0.08,246,114,1.952,2.151,0.1
20QBT_depth_Tokyo_large_opt_5_2.55_no.4.qasm,102,45,171,94,1.676,2.089,0.08,186,101,1.824,2.244,0.06,228,76,2.235,1.689,0.09
20QBT_depth_Tokyo_large_opt_5_2.55_no.5.qasm,123,50,222,129,1.805,2.58,0.11,222,129,1.805,2.58,0.09,258,95,2.098,1.9,0.12
20QBT_depth_Tokyo_large_opt_5_2.55_no.6.qasm,117,48,195,122,1.667,2.542,0.09,207,109,1.769,2.271,0.08,258,93,2.205,1.938,0.11
20QBT_depth_Tokyo_large_opt_5_2.55_no.7.qasm,139,49,262,136,1.885,2.776,0.12,259,135,1.863,2.755,0.09,319,110,2.295,2.245,0.14
20QBT_depth_Tokyo_large_opt_5_2.55_no.8.qasm,134,55,245,155,1.828,2.818,0.1,230,155,1.716,2.818,0.08,317,117,2.366,2.127,0.12
20QBT_depth_Tokyo_large_opt_5_2.55_no.9.qasm,117,50,249,143,2.128,2.86,0.1,213,128,1.821,2.56,0.5,267,93,2.282,1.86,0.1
