circuit,2qg_in,depth_in,sabre0330_min_2qg_out,sabre0330_min_depth_out,sabre0330_min_2qg_ratio,sabre0330_min_depth_ratio,sabre0330_avg_time,sabre0394_min_2qg_out,sabre0394_min_depth_out,sabre0394_min_2qg_ratio,sabre0394_min_depth_ratio,sabre0394_avg_time,sqgm_min_2qg_out,sqgm_min_depth_out,sqgm_min_2qg_ratio,sqgm_min_depth_ratio,sqgm_avg_time
53QBT_depth_Sycamore_large_opt_1_1.5_no.8.qasm,65,12,95,25,1.462,2.083,0.05,95,22,1.462,1.833,0.04,95,21,1.462,1.75,0.05
53QBT_depth_Sycamore_large_opt_1_1.5_no.9.qasm,65,12,92,22,1.415,1.833,0.05,92,24,1.415,2.0,0.04,92,20,1.415,1.667,0.05
53QBT_depth_Sycamore_large_opt_1_2.55_no.0.qasm,76,15,91,18,1.197,1.2,0.06,91,18,1.197,1.2,0.05,91,18,1.197,1.2,0.06
53QBT_depth_Sycamore_large_opt_1_2.55_no.1.qasm,72,15,102,35,1.417,2.333,0.06,102,29,1.417,1.933,0.05,99,21,1.375,1.4,0.06
53QBT_depth_Sycamore_large_opt_1_2.55_no.2.qasm,75,14,120,23,1.6,1.643,0.06,123,28,1.64,2.0,0.04,123,24,1.64,1.714,0.07
53QBT_depth_Sycamore_large_opt_1_2.55_no.3.qasm,81,16,111,25,1.37,1.562,0.06,111,25,1.37,1.562,0.06,117,24,1.444,1.5,0.06
53QBT_depth_Sycamore_large_opt_1_2.55_no.4.qasm,79,15,121,26,1.532,1.733,0.07,118,23,1.494,1.533,0.06,124,26,1.57,1.733,0.07
53QBT_depth_Sycamore_large_opt_1_2.55_no.5.qasm,79,14,121,34,1.532,2.429,0.07,118,28,1.494,2.0,0.06,121,27,1.532,1.929,0.07
53QBT_depth_Sycamore_large_opt_1_2.55_no.6.qasm,66,13,108,27,1.636,2.077,0.06,108,27,1.636,2.077,0.05,102,19,1.545,1.462,0.06
53QBT_depth_Sycamore_large_opt_1_2.55_no.7.qasm,84,15,102,22,1.214,1.467,0.06,111,23,1.321,1.533,0.44,105,18,1.25,1.2,0.06
53QBT_depth_Sycamore_large_opt_1_2.55_no.8.qasm,77,13,101,23,1.312,1.769,0.06,101,25,1.312,1.923,0.05,101,19,1.312,1.462,0.06
53QBT_depth_Sycamore_large_opt_1_2.55_no.9.qasm,73,14,91,26,1.247,1.857,0.06,91,26,1.247,1.857,0.05,127,23,1.74,1.643,0.07
53QBT_depth_Sycamore_large_opt_2_1.5_no.0.qasm,118,17,172,34,1.458,2.0,0.47,178,36,1.508,2.118,0.06,172,27,1.458,1.588,0.47
53QBT_depth_Sycamore_large_opt_2_1.5_no.1.qasm,135,18,198,37,1.467,2.056,0.09,195,32,1.444,1.778,0.07,198,32,1.467,1.778,0.09
53QBT_depth_Sycamore_large_opt_2_1.5_no.2.qasm,110,17,194,34,1.764,2.0,0.09,200,42,1.818,2.471,0.06,218,36,1.982,2.118,0.11
