circuit,2qg_in,depth_in,sabre0330_min_2qg_out,sabre0330_min_depth_out,sabre0330_min_2qg_ratio,sabre0330_min_depth_ratio,sabre0330_avg_time,sabre0394_min_2qg_out,sabre0394_min_depth_out,sabre0394_min_2qg_ratio,sabre0394_min_depth_ratio,sabre0394_avg_time,sqgm_min_2qg_out,sqgm_min_depth_out,sqgm_min_2qg_ratio,sqgm_min_depth_ratio,sqgm_avg_time
53QBT_depth_Rochester_large_opt_10_2.55_no.7.qasm,507,81,1287,284,2.538,3.506,0.98,1236,284,2.438,3.506,0.67,1704,210,3.361,2.593,1.21
53QBT_depth_Rochester_large_opt_10_2.55_no.8.qasm,429,74,1110,251,2.587,3.392,0.61,1206,272,2.811,3.676,0.7,1578,203,3.678,2.743,1.19
53QBT_depth_Rochester_large_opt_10_2.55_no.9.qasm,517,86,1405,332,2.718,3.86,1.02,1474,324,2.851,3.767,0.31,1666,222,3.222,2.581,0.82
53QBT_depth_Rochester_large_opt_1_1.5_no.0.qasm,67,10,115,19,1.716,1.9,0.05,115,19,1.716,1.9,0.04,115,19,1.716,1.9,0.05
53QBT_depth_Rochester_large_opt_1_1.5_no.1.qasm,83,12,125,24,1.506,2.0,0.05,119,21,1.434,1.75,0.05,125,22,1.506,1.833,0.06
53QBT_depth_Rochester_large_opt_1_1.5_no.2.qasm,79,12,118,25,1.494,2.083,0.06,118,25,1.494,2.083,0.05,121,21,1.532,1.75,0.06
53QBT_depth_Rochester_large_opt_1_1.5_no.3.qasm,67,10,100,21,1.493,2.1,0.05,100,21,1.493,2.1,0.04,100,18,1.493,1.8,0.05
53QBT_depth_Rochester_large_opt_1_1.5_no.4.qasm,86,13,122,26,1.419,2.0,0.06,122,26,1.419,2.0,0.05,122,25,1.419,1.923,0.06
53QBT_depth_Rochester_large_opt_1_1.5_no.5.qasm,73,11,127,35,1.74,3.182,0.06,127,28,1.74,2.545,0.05,124,28,1.699,2.545,0.06
53QBT_depth_Rochester_large_opt_1_1.5_no.6.qasm,66,12,96,24,1.455,2.0,0.04,96,24,1.455,2.0,0.05,111,23,1.682,1.917,0.05
53QBT_depth_Rochester_large_opt_1_1.5_no.7.qasm,70,11,91,16,1.3,1.455,0.05,91,14,1.3,1.273,0.04,91,14,1.3,1.273,0.05
53QBT_depth_Rochester_large_opt_1_1.5_no.8.qasm,94,12,115,19,1.223,1.583,0.05,115,19,1.223,1.583,0.05,115,16,1.223,1.333,0.05
53QBT_depth_Rochester_large_opt_1_1.5_no.9.qasm,57,10,102,26,1.789,2.6,0.05,102,26,1.789,2.6,0.04,102,29,1.789,2.9,0.05
53QBT_depth_Rochester_large_opt_1_2.55_no.0.qasm,104,18,134,38,1.288,2.111,0.07,134,38,1.288,2.111,0.06,137,35,1.317,1.944,0.07
53QBT_depth_Rochester_large_opt_1_2.55_no.1.qasm,68,13,167,42,2.456,3.231,0.08,167,42,2.456,3.231,0.06,176,29,2.588,2.231,0.08
53QBT_depth_Rochester_large_opt_1_2.55_no.2.qasm,69,13,114,28,1.652,2.154,0.06,114,27,1.652,2.077,0.05,114,27,1.652,2.077,0.06
53QBT_depth_Rochester_large_opt_1_2.55_no.3.qasm,70,13,118,32,1.686,2.462,0.06,118,32,1.686,2.462,0.05,118,31,1.686,2.385,0.06
53QBT_depth_Rochester_large_opt_1_2.55_no.4.qasm,81,14,111,28,1.37,2.0,0.06,114,28,1.407,2.0,0.05,114,22,1.407,1.571,0.06
53QBT_depth_Rochester_large_opt_1_2.55_no.5.qasm,85,14,148,38,1.741,2.714,0.07,148,38,1.741,2.714,0.06,169,38,1.988,2.714,0.07
53QBT_depth_Rochester_large_opt_1_2.55_no.6.qasm,80,15,119,26,1.488,1.733,0.51,119,26,1.488,1.733,0.5,119,24,1.488,1.6,0.51
53QBT_depth_Rochester_large_opt_1_2.55_no.7.qasm,72,13,108,23,1.5,1.769,0.06,108,25,1.5,1.923,0.05,114,22,1.583,1.692,0.06
53QBT_depth_Rochester_large_opt_1_2.55_no.8.qasm,82,14,118,29,1.439,2.071,0.06,118,29,1.439,2.071,0.05,136,27,1.659,1.929,0.07
53QBT_depth_Rochester_large_opt_1_2.55_no.9.qasm,83,13,125,24,1.506,1.846,0.51,125,26,1.506,2.0,0.5,125,22,1.506,1.692,0.51
53QBT_depth_Rochester_large_opt_2_1.5_no.0.qasm,118,16,232,47,1.966,2.938,0.1,238,46,2.017,2.875,0.06,208,41,1.763,2.562,0.09
53QBT_depth_Rochester_large_opt_2_1.5_no.1.qasm,100,15,202,39,2.02,2.6,0.08,202,39,2.02,2.6,0.51,205,32,2.05,2.133,0.09
53QBT_depth_Rochester_large_opt_2_1.5_no.2.qasm,114,18,228,52,2.0,2.889,0.09,213,44,1.868,2.444,0.07,219,46,1.921,2.556,0.1
53QBT_depth_Rochester_large_opt_2_1.5_no.3.qasm,115,16,247,39,2.148,2.438,0.56,244,42,2.122,2.625,0.07,247,36,2.148,2.25,0.11
53QBT_depth_Rochester_large_opt_2_1.5_no.4.qasm,132,19,228,49,1.727,2.579,0.09,225,49,1.705,2.579,0.07,255,43,1.932,2.263,0.1
53QBT_depth_Rochester_large_opt_2_1.5_no.5.qasm,106,19,193,44,1.821,2.316,0.08,190,51,1.792,2.684,0.07,253,44,2.387,2.316,0.11
53QBT_depth_Rochester_large_opt_2_1.5_no.6.qasm,107,15,203,34,1.897,2.267,0.08,203,37,1.897,2.467,0.06,203,32,1.897,2.133,0.09
53QBT_depth_Rochester_large_opt_2_1.5_no.7.qasm,112,17,199,41,1.777,2.412,0.09,199,41,1.777,2.412,0.07,199,37,1.777,2.176,0.09
