circuit,2qg_in,depth_in,sabre0330_min_2qg_out,sabre0330_min_depth_out,sabre0330_min_2qg_ratio,sabre0330_min_depth_ratio,sabre0330_avg_time,sabre0330+cc_min_2qg_out,sabre0330+cc_min_depth_out,sabre0330+cc_min_2qg_ratio,sabre0330+cc_min_depth_ratio,sabre0330+cc_avg_time,sabre0394_min_2qg_out,sabre0394_min_depth_out,sabre0394_min_2qg_ratio,sabre0394_min_depth_ratio,sabre0394_avg_time,sabre0394+cc_min_2qg_out,sabre0394+cc_min_depth_out,sabre0394+cc_min_2qg_ratio,sabre0394+cc_min_depth_ratio,sabre0394+cc_avg_time,sqgm_min_2qg_out,sqgm_min_depth_out,sqgm_min_2qg_ratio,sqgm_min_depth_ratio,sqgm_avg_time,sqgm+cc_min_2qg_out,sqgm+cc_min_depth_out,sqgm+cc_min_2qg_ratio,sqgm+cc_min_depth_ratio,sqgm+cc_avg_time,nassc_min_2qg_out,nassc_min_depth_out,nassc_min_2qg_ratio,nassc_min_depth_ratio,nassc_avg_time
realamprandom_nativegates_ibm_qiskit_opt3_54.qasm,4293,230,15720,3632,3.662,15.791,5.88,14200,3221,3.308,14.004,7.55,14877,2765,3.465,12.022,1.99,12965,2406,3.02,10.461,3.55,18246,1638,4.25,7.122,15.47,15424,1553,3.593,6.752,11.98,11784,2119,2.745,9.213,19.84
su2random_indep_qiskit_50.qasm,3675,202,13470,3116,3.665,15.426,5.42,12329,2713,3.355,13.431,7.94,12399,2481,3.374,12.282,3.14,11295,2281,3.073,11.292,3.94,15558,1469,4.233,7.272,9.14,14048,1388,3.823,6.871,10.87,10511,1938,2.86,9.594,13.15
su2random_indep_qiskit_51.qasm,3825,206,13926,3023,3.641,14.675,6.84,12087,2701,3.16,13.112,7.44,12720,2593,3.325,12.587,3.24,11204,2251,2.929,10.927,3.16,15444,1515,4.038,7.354,9.69,14036,1375,3.67,6.675,12.09,10716,2039,2.802,9.898,13.65
su2random_indep_qiskit_52.qasm,3978,210,15042,3636,3.781,17.314,7.82,14267,2982,3.586,14.2,10.72,13485,2404,3.39,11.448,1.7,11628,2202,2.923,10.486,5.26,15837,1476,3.981,7.029,12.14,14441,1455,3.63,6.929,14.04,10720,2010,2.695,9.571,15.62
su2random_indep_qiskit_53.qasm,4134,214,15873,3494,3.84,16.327,8.44,13957,2994,3.376,13.991,8.95,14082,2587,3.406,12.089,4.3,12141,2243,2.937,10.481,5.14,17604,1619,4.258,7.565,10.34,14841,1423,3.59,6.65,13.68,11689,1942,2.828,9.075,13.68
su2random_indep_qiskit_54.qasm,4293,218,16251,3481,3.785,15.968,6.16,14793,3206,3.446,14.706,11.76,15069,2744,3.51,12.587,1.87,12440,2309,2.898,10.592,5.93,17664,1678,4.115,7.697,12.48,15566,1607,3.626,7.372,11.71,11506,2401,2.68,11.014,18.95
su2random_nativegates_ibm_qiskit_opt3_50.qasm,3675,214,13329,3171,3.627,14.818,9.13,13489,3140,3.67,14.673,10.41,12207,2525,3.322,11.799,1.79,11260,2265,3.064,10.584,2.88,15369,1484,4.182,6.935,9.14,13559,1409,3.69,6.584,14.31,10012,1789,2.724,8.36,13.55
su2random_nativegates_ibm_qiskit_opt3_51.qasm,3825,218,14355,3497,3.753,16.041,5.81,14147,3405,3.699,15.619,11.03,12831,2512,3.355,11.523,1.84,11310,2274,2.957,10.431,6.19,17070,1632,4.463,7.486,14.27,14633,1484,3.826,6.807,18.4,10508,1677,2.747,7.693,16.72
su2random_nativegates_ibm_qiskit_opt3_52.qasm,3978,222,15324,3371,3.852,15.185,10.7,13216,2915,3.322,13.131,7.09,13455,2580,3.382,11.622,2.04,12013,2264,3.02,10.198,3.16,16596,1643,4.172,7.401,9.69,14880,1509,3.741,6.797,11.25,11255,1878,2.829,8.459,13.24
su2random_nativegates_ibm_qiskit_opt3_53.qasm,4134,226,15882,3069,3.842,13.58,11.31,14277,3054,3.454,13.513,12.11,14046,2667,3.398,11.801,6.86,12517,2329,3.028,10.305,3.22,17796,1674,4.305,7.407,10.79,15547,1555,3.761,6.881,16.69,11501,1774,2.782,7.85,13.91
su2random_nativegates_ibm_qiskit_opt3_54.qasm,4293,230,15555,3503,3.623,15.23,5.81,14445,3277,3.365,14.248,7.98,14748,2741,3.435,11.917,7.12,12715,2505,2.962,10.891,2.94,17673,1681,4.117,7.309,10.36,16476,1558,3.838,6.774,12.52,12223,2354,2.847,10.235,20.29
twolocalrandom_indep_qiskit_50.qasm,3675,202,13998,3041,3.809,15.054,6.44,12911,2854,3.513,14.129,7.9,12249,2104,3.333,10.416,2.96,11386,2207,3.098,10.926,3.86,14931,1514,4.063,7.495,8.75,13819,1358,3.76,6.723,11.7,10107,1679,2.75,8.312,13.17
twolocalrandom_indep_qiskit_51.qasm,3825,206,13854,2968,3.622,14.408,6.59,13754,3328,3.596,16.155,7.94,12939,2260,3.383,10.971,3.01,10971,2248,2.868,10.913,4.44,15018,1470,3.926,7.136,11.53,13488,1394,3.526,6.767,12.84,10688,1894,2.794,9.194,15.42
twolocalrandom_indep_qiskit_52.qasm,3978,210,14586,3359,3.667,15.995,7.05,13444,2991,3.38,14.243,11.61,13296,2537,3.342,12.081,3.67,11033,2133,2.774,10.157,6.6,16182,1533,4.068,7.3,11.75,13342,1351,3.354,6.433,14.97,10182,1822,2.56,8.676,15.78
twolocalrandom_indep_qiskit_53.qasm,4134,214,16035,3458,3.879,16.159,8.89,15012,3306,3.631,15.449,7.4,14130,2635,3.418,12.313,3.57,12373,2290,2.993,10.701,2.95,17244,1628,4.171,7.607,10.58,15648,1541,3.785,7.201,15.28,11147,1851,2.696,8.65,16.4
twolocalrandom_indep_qiskit_54.qasm,4293,218,16485,3729,3.84,17.106,10.13,14363,3218,3.346,14.761,11.67,14691,2482,3.422,11.385,5.5,12085,2032,2.815,9.321,6.69,18513,1711,4.312,7.849,15.5,15528,1555,3.617,7.133,11.88,10894,1772,2.538,8.128,16.19
twolocalrandom_nativegates_ibm_qiskit_opt3_50.qasm,3675,214,13158,3229,3.58,15.089,5.09,12362,3138,3.364,14.664,9.67,12474,2489,3.394,11.631,1.71,10852,2172,2.953,10.15,2.53,15066,1511,4.1,7.061,12.77,12657,1335,3.444,6.238,16.69,9705,2010,2.641,9.393,14.91
twolocalrandom_nativegates_ibm_qiskit_opt3_51.qasm,3825,218,14271,3018,3.731,13.844,9.6,13158,2848,3.44,13.064,6.56,12687,2558,3.317,11.734,5.9,10376,2143,2.713,9.83,2.69,16338,1545,4.271,7.087,9.9,13404,1366,3.504,6.266,10.19,11058,2071,2.891,9.5,11.86
twolocalrandom_nativegates_ibm_qiskit_opt3_52.qasm,3978,222,14802,3444,3.721,15.514,6.06,13516,2945,3.398,13.266,12.23,13413,2493,3.372,11.23,1.91,11810,2443,2.969,11.005,3,16197,1545,4.072,6.959,10.68,15309,1486,3.848,6.694,11.21,11395,1862,2.865,8.387,22.99
twolocalrandom_nativegates_ibm_qiskit_opt3_53.qasm,4134,226,15198,3523,3.676,15.588,6.22,13992,3228,3.385,14.283,13.06,13878,2643,3.357,11.695,2.07,12095,2571,2.926,11.376,3.12,16953,1635,4.101,7.235,11.15,13978,1457,3.381,6.447,16.81,11478,2019,2.776,8.934,14.4
twolocalrandom_nativegates_ibm_qiskit_opt3_54.qasm,4293,230,15696,3150,3.656,13.696,6.45,15203,3299,3.541,14.343,8.11,14532,2611,3.385,11.352,2.14,12835,2243,2.99,9.752,8.98,18246,1722,4.25,7.487,12.24,15585,1577,3.63,6.857,12.54,11203,1990,2.61,8.652,19.42
wstate_indep_qiskit_50.qasm,98,151,206,198,2.102,1.311,0.18,195,191,1.99,1.265,0.22,191,192,1.949,1.272,0.15,180,191,1.837,1.265,0.19,377,170,3.847,1.126,0.26,349,166,3.561,1.099,0.25,213,158,2.173,1.046,0.32
wstate_indep_qiskit_51.qasm,100,154,241,226,2.41,1.468,0.12,225,216,2.25,1.403,0.18,181,186,1.81,1.208,0.15,219,214,2.19,1.39,0.14,391,168,3.91,1.091,0.23,355,170,3.55,1.104,0.2,238,164,2.38,1.065,0.35
wstate_indep_qiskit_52.qasm,102,157,192,200,1.882,1.274,0.2,190,199,1.863,1.268,0.24,180,201,1.765,1.28,0.17,184,200,1.804,1.274,0.22,525,176,5.147,1.121,0.2,385,177,3.775,1.127,0.23,196,157,1.922,1,0.4
wstate_indep_qiskit_53.qasm,104,160,332,252,3.192,1.575,0.24,298,259,2.865,1.619,0.2,242,200,2.327,1.25,0.19,246,208,2.365,1.3,0.23,434,178,4.173,1.113,0.28,390,170,3.75,1.063,0.31,284,180,2.731,1.125,0.37
wstate_indep_qiskit_54.qasm,106,163,304,267,2.868,1.638,0.15,251,221,2.368,1.356,0.18,247,223,2.33,1.368,0.11,251,219,2.368,1.344,0.16,481,182,4.538,1.117,0.21,580,178,5.472,1.092,0.28,257,178,2.425,1.092,0.48
wstate_nativegates_ibm_qiskit_opt3_50.qasm,98,201,248,245,2.531,1.219,0.14,213,239,2.173,1.189,0.16,218,238,2.224,1.184,0.1,209,245,2.133,1.219,0.22,269,213,2.745,1.06,0.15,269,213,2.745,1.06,0.18,217,153,2.214,0.761,0.44
wstate_nativegates_ibm_qiskit_opt3_51.qasm,100,205,322,286,3.22,1.395,0.19,284,267,2.84,1.302,0.2,235,260,2.35,1.268,0.11,233,259,2.33,1.263,0.15,370,215,3.7,1.049,0.38,392,216,3.92,1.054,0.43,238,169,2.38,0.824,0.57
wstate_nativegates_ibm_qiskit_opt3_52.qasm,102,209,258,279,2.529,1.335,0.17,238,276,2.333,1.321,0.2,267,283,2.618,1.354,0.11,254,276,2.49,1.321,0.16,450,221,4.412,1.057,0.23,426,227,4.176,1.086,0.43,239,190,2.343,0.909,0.37
wstate_nativegates_ibm_qiskit_opt3_53.qasm,104,213,215,259,2.067,1.216,0.3,212,259,2.038,1.216,0.17,197,259,1.894,1.216,0.11,195,258,1.875,1.211,0.15,425,235,4.087,1.103,0.21,489,226,4.702,1.061,0.45,214,153,2.058,0.718,0.34
wstate_nativegates_ibm_qiskit_opt3_54.qasm,106,217,223,273,2.104,1.258,0.14,200,264,1.887,1.217,0.17,220,266,2.075,1.226,0.11,238,275,2.245,1.267,0.14,385,230,3.632,1.06,0.19,420,230,3.962,1.06,0.41,243,169,2.292,0.779,0.55
